context,description,mentioned_groups
D05,sewing; embroidering; tufting,D05; A47; D04; A41; B42
D06,treatment of textiles or the like; laundering; flexible materials not otherwise provided for,D05; D06; D01; B31
D07,ropes; cables other than electric,D02; F16; H01; E01; D04; A63; B65
D10,"indexing scheme associated with sublasses of section d, relating to textiles",
D21,paper-making; production of cellulose,B31; B65; D21; B27
D99,subject matter not otherwise provided for in this section,
E01,"construction of roads, railways, or bridges",B64; B61; E01; B08
E02,hydraulic engineering; foundations; soil shifting,E02; E21
E03,water supply; sewerage,E03; A47; E21; F17
E04,building,F16; E02; E21; E01; E04; H05; E06
E05,locks; keys; window or door fittings; safes,A45; F16; G08; B62; E05; E04
E06,"doors, windows, shutters, or roller blinds in general; ladders",B62; A01; B64; A47; B63; E04
E21,earth drilling; mining,E21; C09
E99,subject matter not otherwise provided for in this section,
F01,machines or engines in general; engine plants in general; steam engines,F24; B60; F04; B08; F16; B25; B63; G10; F01; F28; G21; F03; B64; F02; F23; F41; C09
F02,combustion engines; hot-gas or combustion-product engine plants,G01; F01; B60; F04; G05; F02; F23; H01; G06; F25
F03,"machines or engines for liquids; wind, spring, or weight motors; producing mechanical power or a reactive propulsive thrust, not otherwise provided for",F01; B60; F15; F04; F03; F16; F02
F04,positive - displacement machines for liquids; pumps for liquids or elastic fluids,F02; H01; F04; H02; B65; F03
F05,indexing schemes relating to engines or pumps in various subclasses of classes f01-f04,F04; F01; F03
F15,fluid-pressure actuators; hydraulics or pneumatics in general,F15; C10; G05; F16; E02; G06; B63; C09; B05
F16,engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general,F16
F17,storing or distributing gases or liquids,G01; A62; F15; F04; G05; B65; F16; F23; G08; A47; B01; E04; F25; H01; F17
F21,lighting,F21
F22,steam generation,F01; F24; F22; F28; G21
F23,combustion apparatus; combustion processes,A24; F23; F24; F02; C06; C11
F24,heating; ranges; ventilating,F01; F24; F23; F22; E04; F03; B08
F25,refrigeration or cooling; combined heating and refrigeration systems; heat pump systems; manufacture or storage of ice; liquefaction solidification of gases,F24; B60; C09; F04; B65; G12; B64; A47; F25; F17
F26,drying,A45; F27; A01; B04; H01; B01; D06; A23; A47; C04
F27,furnaces; kilns; ovens; retorts,F23
F28,heat exchange in general,F01; F24; F22; F27; F28; B08; F16; F23; B01; F25
F41,weapons,F41; G02; B26; A63; A01; F42
F42,ammunition; blasting,E21; C06; F42
F99,subject matter not otherwise provided for in this section,
G01,measuring; testing,H03; G01; B60; E01; C12; A01; A61; B07; F21; G08; H01; B61; A63; H05
G02,optics,A61
G03,photography; cinematography; analogous techniques using waves other than optical waves; electrography; holography,G02; H04; G06; G03; B41; G11
G04,horology,H03; G01; H01; G04; F42; F03
G05,controlling; regulating,H03; G01; F15; G04; G05; G12; F16; H01; B22; H04; G06; H02; H05
G06,computing; calculating; counting,H03; G01; G02; G07; G05; H04; G06; A63; B41; G11
G07,checking-devices,G06; G07
G08,signalling,G01; B61; F15; E01; G05
G09,education; cryptography; display; advertising; seals,G01; G02; G09; G04; F21; G08; H01; G06; G03; H05; H03; A61; H04; A63; B42
G10,musical instruments; acoustics,H03; G10; A47; G09; G04; A63; G11
G11,information storage,G01; H01; H04; G06
G12,instrument details,
G16,information and communication technology  specially adapted for specific application fields,
G21,nuclear physics; nuclear engineering,B64; G01; H01; G06; G21; A61; H05
G99,subject matter not otherwise provided for in this section,
H01,basic electric elements,H03; G01; G02; C04; H01; C22; H04; H02; H05
H02,generation; conversion or distribution of electric power,H03; G01; H01; G08; H04; H02; G21
H03,basic electronic circuitry,H03; G01; G10; G02; F15; G09; G05; G08; H01; H04; G06; G11; H02; H05
H04,electric communication technique,G01; G10; G04; B06; G08; H01; H04; H02; G11
H05,electric techniques not otherwise provided for,H03; G01; G04; A01; G21; A61; A22; H01; H04; G03; H02; H05
H99,subject matter not otherwise provided for in this section,
Y02,technologies or applications for mitigation or adaptation against climate change,
Y04,information or communication technologies having an impact on other technology areas,
Y10,technical subjects covered by former uspc,
