context,description,mentioned_groups
B33,"saddles; stirrups; making articles from leather, canvas, or the like; methods, equipment, or machines for use in upholstering; upholstery not otherwise provided for; microstructural technology; nanotechnology",set()
B41,"microstructural technology; microstructural devices or systems, e.g. micromechanical devices ; processes or apparatus specially adapted for the manufacture or treatment of microstructural devices or systems ; nanotechnology; nanostructures formed by manipulation of individual atoms, molecules, or limited collections of atoms or molecules as discrete units; manufacture or treatment thereof; specific uses or applications of nanostructures; measurement or analysis of nanostructures; manufacture or treatment of nanostructures; subject matter not otherwise provided for in this section; subject matter not otherwise provided for in this section","{'B01', 'H01'}"
C01,"inorganic chemistry; non-metallic elements; compounds thereof; {metalloids or compounds thereof not covered by subclass c01c}; ammonia; cyanogen; compounds thereof ; compounds of alkali metals, i.e. lithium, sodium, potassium, rubidium, caesium, or francium ; compounds of the metals beryllium, magnesium, aluminium, calcium, strontium, barium, radium, thorium, or of the rare-earth metals ; compounds containing metals not covered by subclasses c01d or c01f ; indexing scheme relating to structural and physical aspects of solid inorganic compounds; treatment of water, waste water, sewage, or sludge; treatment of water, waste water, sewage, or sludge ; glass; mineral or slag wool; manufacture, shaping, or supplementary processes; chemical composition of glasses, glazes or vitreous enamels; surface treatment of glass; surface treatment of fibres or filaments made from glass, minerals or slags; joining glass to glass or other materials; cements; concrete; artificial stone; ceramics; refractories; lime, magnesia; slag; cements; compositions thereof, e.g. mortars, concrete or like building materials; artificial stone {}; ceramics ; refractories; treatment of natural stone","{'B63', 'G21', 'C23', 'C03', 'B01', 'E04', 'C01'}"
C02,"fertilisers; manufacture thereof; phosphatic fertilisers; nitrogenous fertilisers; inorganic fertilisers not covered by subclasses c05b, c05c; fertilisers producing carbon dioxide",{'C05'}
C03,"organic fertilisers not covered by subclasses c05b, c05c, e.g. fertilisers from waste or refuse {}; mixtures of fertilisers covered individually by different subclasses of class c05; mixtures of one or more fertilisers with materials not having a specific fertilising activity, e.g. pesticides, soil-conditioners, wetting agents ; fertilisers characterised by their form; explosives; matches; explosives or thermic compositions ; manufacture thereof; use of single substances as explosives ; detonating or priming devices; fuses ; chemical lighters; pyrophoric compositions; means for generating smoke or mist; gas-attack compositions; generation of gas for blasting or propulsion  ","{'A01', 'C08', 'C07', 'C05', 'C01', 'F42', 'C04', 'C10'}"
C04,matches; manufacture of matches; organic chemistry; general methods of organic chemistry; apparatus therefor ; acyclic or carbocyclic compounds,"{'C07', 'C08'}"
C05,"heterocyclic compounds; acyclic, carbocyclic or heterocyclic compounds containing elements other than carbon, hydrogen, halogen, oxygen, nitrogen, sulfur, selenium or tellurium ; compounds of unknown constitution; sugars; derivatives thereof; nucleosides; nucleotides; nucleic acids ; steroids ; peptides ; organic macromolecular compounds; their preparation or chemical working-up; compositions based thereon; polysaccharides; derivatives thereof ; treatment or chemical modification of rubbers; macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds; macromolecular compounds obtained otherwise than by reactions only involving unsaturated carbon-to-carbon bonds; derivatives of natural macromolecular compounds ","{'C07', 'C13', 'A23', 'A61', 'D21', 'C10', 'C09', 'G01', 'C08', 'C12'}"
C06,"working-up; general processes of compounding; after-treatment not covered by subclasses c08b, c08c, c08f, c08g or c08h ; use of inorganic or non-macromolecular organic substances as compounding ingredients ; compositions of macromolecular compounds ; dyes; paints; polishes; natural resins; adhesives; compositions not otherwise provided for; applications of materials not otherwise provided for; organic dyes or closely-related compounds for producing dyes {, e.g. pigments}; mordants; lakes ; treatment of inorganic materials, other than fibrous fillers, to enhance their pigmenting or filling properties ; preparation of carbon black; {preparation of inorganic materials which are no single chemical compounds and which are mainly used as pigments or fillers}; coating compositions, e.g. paints, varnishes or lacquers; filling pastes; chemical paint or ink removers; inks; correcting fluids; woodstains; pastes or solids for colouring or printing; use of materials therefor ; natural resins; french polish; drying-oils; driers ; turpentine; polishing compositions ; ski waxes; preparation of glue or gelatine","{'B29', 'A61', 'C09', 'B05', 'C25', 'D06', 'C03', 'B27', 'D01', 'C08', 'C01', 'C04', 'C12'}"
C07,"adhesives; non-mechanical aspects of adhesive processes in general; adhesive processes not provided for elsewhere; use of materials as adhesives ; materials for miscellaneous applications, not provided for elsewhere; petroleum, gas or coke industries; technical gases containing carbon monoxide; fuels; lubricants; peat; destructive distillation of carbonageous materials for production of gas, coke, tar, or similar materials ; working-up pitch, asphalt, bitumen, tar; pyroligneous acid ; drying or working-up of peat; cracking hydrocarbon oils; production of liquid hydrocarbon mixtures, e.g. by destructive hydrogenation, oligomerisation, polymerisation ; recovery of hydrocarbon oils from oil-shale, oil-sand, or gases; refining mixtures mainly consisting of hydrocarbons; reforming of naphtha; mineral waxes ; production of acetylene by wet methods {}; production of producer gas, water-gas, synthesis gas from solid carbonaceous material, or mixtures containing these gases ; carburetting air or other gases; purifying or modifying the chemical composition of combustible gases containing carbon monoxide; fuels not otherwise provided for ; natural gas; synthetic natural gas obtained by processes not covered by subclasses c10g, c10k; liquefied petroleum gas; adding materials to fuels or fires to reduce smoke or undesirable deposits or to facilitate soot removal; firelighters; lubricating compositions ; use of chemical substances either alone or as lubricating ingredients in a lubricating composition ; indexing scheme associated with subclass c10m relating to lubricating compositions; animal or vegetable oils, fats, fatty substances or waxes; fatty acids therefrom; detergents; candles; producing, e.g. by pressing raw materials or by extraction from waste materials, refining or preserving fats, fatty substances, e.g. lanolin, fatty oils or waxes; essential oils; perfumes ; fatty acids from fats, oils or waxes; candles; fats, oils or fatty acids by chemical modification of fats, oils, or fatty acids obtained therefrom; detergent compositions ; use of single substances as detergents; soap or soap-making; resin soaps; recovery of glycerol; biochemistry; beer; spirits; wine; vinegar; microbiology; enzymology; mutation or genetic engineering","{'C07', 'C10', 'C09', 'G21', 'G02', 'D01', 'C11', 'B01', 'C08', 'C06', 'H01', 'B29', 'C23', 'F16', 'A61', 'B21', 'E21', 'C03', 'C01', 'A21', 'B22'}"
C08,"beer; preparation of beer by fermentation ; preparation of malt for making beer; preparation of hops for making beer; recovery of by-products of fermented solutions ; denatured alcohol; preparation thereof; wine; preparation thereof; alcoholic beverages ; preparation of alcoholic beverages not provided for in subclasses c12c or c12h; pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages; methods for altering the alcohol content of fermented solutions or alcoholic beverages ; vinegar; preparation or purification thereof; pitching or depitching machines; cellar tools ; apparatus for enzymology or microbiology; {apparatus for culturing microorganisms for producing biomass, for growing cells or for obtaining fermentation or metabolic products, i.e. bioreactors or fermenters}; microorganisms or enzymes; compositions thereof; propagating, preserving, or maintaining microorganisms; mutation or genetic engineering; culture media ; fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture {}; measuring or testing processes involving enzymes, nucleic acids or microorganisms ; compositions or test papers therefor; processes of preparing such compositions; condition-responsive control in microbiological or enzymological processes; indexing scheme associated with subclasses c12c - c12q, relating to microorganisms; enzymes; sugar industry; production of sucrose; apparatus specially adapted therefor ; saccharides obtained from natural sources or by hydrolysis of naturally occurring disaccharides, oligosaccharides or polysaccharides ; skins; hides; pelts; leather; mechanical treatment or processing of skins, hides or leather in general; pelt-shearing machines; intestine-splitting machines ; chemical treatment of hides, skins or leather, e.g. tanning, impregnating, finishing; apparatus therefor; compositions for tanning ","{'C07', 'A23', 'C13', 'A21', 'B29', 'D06', 'G01', 'B68', 'C08', 'C01', 'B08', 'C12'}"
C09,"metallurgy; metallurgy of iron; manufacture of iron or steel ; processing of pig-iron, e.g. refining, manufacture of wrought-iron or steel; treatment in molten state of ferrous alloys ; modifying the physical structure of ferrous metals; general devices for heat treatment of ferrous or non-ferrous metals or alloys; making metal malleable, e.g. by decarburisation or tempering ; metallurgy; ferrous or non-ferrous alloys; treatment of alloys or non-ferrous metals; production and refining of metals ; pretreatment of raw materials; alloys ; changing the physical structure of non-ferrous metals and non-ferrous alloys ; coating metallic material; coating material with metallic material; chemical surface treatment; diffusion treatment of metallic material; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general; inhibiting corrosion of metallic material or incrustation in general; coating metallic material; coating material with metallic material; surface treatment of metallic material by diffusion into the surface, by chemical conversion or substitution; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general ; enamelling of, or applying a vitreous layer to, metals ; non-mechanical removal of metallic material from surface ; inhibiting corrosion of metallic material or incrustation in general; multi-step processes for surface treatment of metallic material involving at least one process provided for in class c23 and at least one process covered by subclass c21d or c22f or class c25; cleaning or degreasing of metallic material by chemical methods other than electrolysis ; electrolytic or electrophoretic processes; apparatus therefor; electrolytic or electrophoretic processes for the production of compounds or non-metals; apparatus therefor ; processes for the electrolytic production, recovery or refining of metals; apparatus therefor; processes for the electrolytic or electrophoretic production of coatings; electroforming; apparatus therefor","{'C21', 'C30', 'H05', 'C23', 'B21', 'C09', 'C11', 'C25', 'D06', 'C22', 'C03', 'B23', 'B44', 'C04', 'C06'}"
C10,"processes for the electrolytic removal of materials from objects; apparatus therefor; crystal growth; single-crystal growth ; unidirectional solidification of eutectic material or unidirectional demixing of eutectoid material; refining by zone-melting of material ; production of a homogeneous polycrystalline material with defined structure ; single crystals or homogeneous polycrystalline material with defined structure; after-treatment of single crystals or a homogeneous polycrystalline material with defined structure ; apparatus therefor; combinatorial technology; combinatorial technology; combinatorial chemistry; libraries, e.g. chemical libraries ; subject matter not otherwise provided for in this section; subject matter not otherwise provided for in this section","{'C21', 'G16', 'C22', 'H01', 'B01', 'B29', 'B22'}"
D01,"natural or man-made threads or fibres; spinning; mechanical treatment of natural fibrous or filamentary material to obtain fibres of filaments, e.g. for spinning ; chemical treatment of natural filamentary or fibrous material to obtain filaments or fibres for spinning; carbonising rags to recover animal fibres; mechanical methods or apparatus in the manufacture of artificial filaments, threads, fibres, bristles or ribbons; chemical features in the manufacture of artificial filaments, threads, fibres, bristles or ribbons; apparatus specially adapted for the manufacture of carbon filaments; preliminary treatment of fibres, e.g. for spinning ; spinning or twisting ; yarns; mechanical finishing of yarns or ropes; warping or beaming; crimping or curling fibres, filaments, threads, or yarns; yarns or threads; warping, beaming or leasing; finishing or dressing of filaments, yarns, threads, cords, ropes or the like ; weaving; shedding mechanisms; pattern cards or chains; punching of cards; designing patterns; woven fabrics; methods of weaving; looms","{'D06', 'D01', 'D02', 'D21', 'D07', 'B65', 'B03'}"
D02,"auxiliary weaving apparatus; weavers' tools; shuttles; braiding; lace-making; knitting; trimmings; non-woven fabrics; knitting; braiding or manufacture of lace, including bobbin-net or carbonised lace; braiding machines; braid; lace ; trimmings; ribbons, tapes or bands, not otherwise provided for ; making nets by knotting of filamentary material; making knotted carpets or tapestries; knotting not otherwise provided for ; making textile fabrics, e.g. from fibres or filamentary material ; fabrics made by such processes or apparatus, e.g. felts, non-woven fabrics; cotton-wool; wadding {; non-woven fabrics from staple fibres, filaments or yarns, bonded with at least one web-like material during their consolidation}; sewing; embroidering; tufting","{'A01', 'D03', 'D02', 'A42', 'D05', 'B21', 'A43', 'D06', 'B27', 'B44', 'D04', 'B32', 'B65'}"
D03,"sewing ; embroidering; tufting ; indexing scheme associated with subclasses d05b and d05c, relating to sewing, embroidering and tufting; treatment of textiles or the like; laundering; flexible materials not otherwise provided for; treating textile materials using liquids, gases or vapours ; finishing, dressing, tentering or stretching textile fabrics; laundering, drying, ironing, pressing or folding textile articles; mechanical or pressure cleaning of carpets, rugs, sacks, hides, or other skin or textile articles or fabrics; turning inside-out flexible tubular or other hollow articles","{'D01', 'D05', 'B42', 'D04', 'A47', 'A41'}"
D04,"marking, inspecting, seaming or severing textile materials ; pleating, kilting or goffering textile fabrics or wearing apparel ; dry-cleaning, washing or bleaching fibres, filaments, threads, yarns, fabrics, feathers or made-up fibrous goods; bleaching leather or furs; treatment, not provided for elsewhere in class d06, of fibres, threads, yarns, fabrics, feathers or fibrous goods made from such materials; wall, floor, or like covering materials, e.g. linoleum, oilcloth, artificial leather, roofing felt, consisting of a fibrous web coated with a layer of macromolecular material; flexible sheet material not otherwise provided for; dyeing or printing textiles; dyeing leather, furs or solid macromolecular substances in any form; decorating textiles ; ropes; cables other than electric; ropes or cables in general ; indexing scheme associated with sublasses of section d, relating to textiles; indexing scheme associated with sublasses of section d, relating to textiles; paper","{'D02', 'H01', 'F16', 'D05', 'E01', 'D06', 'A63', 'D04', 'B65', 'B31'}"
D05,paper-making; production of cellulose; fibrous raw materials or their mechanical treatment; production of cellulose by removing non-cellulose substances from cellulose-containing materials; regeneration of pulping liquors; apparatus therefor; treatment of the materials before passing to the paper-making machine; paper-making machines; methods of producing paper thereon; calenders; accessories for paper-making machines ; pulp compositions; preparation thereof not covered by subclasses d21c or d21d; impregnating or coating of paper; treatment of finished paper not covered by class b31 or subclass d21g; paper not otherwise provided for; fibreboard; manufacture of articles from cellulosic fibrous suspensions or from papier-mache ,"{'D21', 'B65', 'B31', 'B27'}"
D06,subject matter not otherwise provided for in this section; subject matter not otherwise provided for in this section,set()
E01,"construction of roads, railways, or bridges; permanent way; permanent-way tools; machines for making railways of all kinds ; construction of, or surfaces for, roads, sports grounds, or the like; machines or auxiliary tools for construction or repair ; construction of bridges, {elevated roadways} or viaducts; assembly of bridges ; additional work, such as equipping roads or the construction of platforms, helicopter landing stages, signs, snow fences, or the like; street cleaning; cleaning of permanent ways; cleaning beaches; dispersing {or preventing} fog in general {cleaning street or railway furniture or tunnel walls}; hydraulic engineering; foundations; soil shifting; hydraulic engineering ; ship-lifting devices or mechanisms; foundations; excavations; embankments ; underground or underwater structures {}; dredging; soil-shifting ; water supply; sewerage","{'B61', 'E21', 'B64', 'E02', 'B08', 'E01'}"
E02,"installations or methods for obtaining, collecting, or distributing water ; domestic plumbing installations for fresh water or waste water ; sinks; water-closets or urinals with flushing devices; flushing valves therefor; sewers; cesspools; building; general building constructions; walls, e.g. partitions; roofs; floors; ceilings; insulation or other protection of buildings ; structural elements; building materials ; roof coverings; sky-lights; gutters; roof-working tools ; finishing work on buildings, e.g. stairs, floors ; scaffolding; forms; shuttering; building implements or aids, or their use; handling building materials on the site; repairing, breaking-up or other work on existing buildings","{'H05', 'E06', 'F17', 'F16', 'E21', 'E03', 'E04', 'E01', 'A47'}"
E03,"buildings or like structures for particular purposes; swimming or splash baths or pools; masts; fencing; tents or canopies, in general ; locks; keys; window or door fittings; safes; locks; accessories therefor; handcuffs; bolts or fastening devices for wings, specially for doors or windows ; hinges or suspension devices for doors, windows or wings ; devices for moving wings into open or closed position; checks for wings; wing fittings not otherwise provided for, concerned with the functioning of the wing; safes or strong-rooms for valuables; bank protection devices; safety transaction partitions ; indexing scheme relating to hinges or other suspension devices for doors, windows or wings and devices for moving wings into open or closed position, checks for wings and wing fittings not otherwise provided for, concerned with the functioning of the wing; doors, windows, shutters, or roller blinds in general; ladders; fixed or movable closures for openings in buildings, vehicles, fences or like enclosures in general, e.g. doors, windows, blinds, gates ","{'E05', 'A01', 'F16', 'A45', 'E02', 'B62', 'E04', 'A47', 'G08'}"
E04,"ladders ; earth drilling; mining; earth drilling; mining; earth drilling, e.g. deep drilling ; obtaining oil, gas, water, soluble or meltable materials or a slurry of minerals from wells; mining or quarrying; shafts; tunnels; galleries; large underground chambers ; safety devices, transport, filling-up, rescue, ventilation, or draining in or of mines or tunnels; subject matter not otherwise provided for in this section; subject matter not otherwise provided for in this section","{'B63', 'E21', 'B64', 'E04', 'A47', 'C09'}"
F01,"machines or engines in general; engine plants in general; steam engines; machines or engines, in general or of positive-displacement type, e.g. steam engines ; rotary-piston or oscillating-piston machines or engines ; non-positive displacement machines or engines, e.g. steam turbines ; steam engine plants; steam accumulators; engine plants not otherwise provided for; engines using special working fluids or cycles ; cyclically operating valves for machines or engines; lubricating of machines or engines in general; lubricating internal combustion engines; crankcase ventilating; gas-flow silencers or exhaust apparatus for machines or engines in general; gas-flow silencers or exhaust apparatus for internal combustion engines ; cooling of machines or engines in general; cooling of internal-combustion engines ; combustion engines; hot-gas or combustion-product engine plants; internal-combustion piston engines; combustion engines in general ; gas-turbine plants; air intakes for jet-propulsion plants; controlling fuel supply in air-breathing jet-propulsion plants ; controlling combustion engines ; cylinders, pistons or casings, for combustion engines; arrangements of sealings in combustion engines; hot gas or combustion-product positive-displacement engine plants ; use of waste heat of combustion engines; not otherwise provided for; jet-propulsion plants ; supplying combustion engines in general with combustible mixtures or constituents thereof; starting of combustion engines; starting aids for such engines, not otherwise provided for","{'F23', 'C09', 'F03', 'G21', 'F41', 'B08', 'F01', 'B60', 'F04', 'G10', 'B25', 'F16', 'F24', 'F28', 'B63', 'F25', 'B64', 'F02'}"
F02,"ignition, other than compression ignition, for internal-combustion engines; testing of ignition timing in compression-ignition engines ; machines or engines for liquids; wind, spring, or weight motors; producing mechanical power or a reactive propulsive thrust, not otherwise provided for; machines or engines for liquids ; positive-displacement engines driven by liquids ; wind motors; spring, weight, inertia or like motors; mechanical-power producing devices or mechanisms, not otherwise provided for or using energy sources not otherwise provided for ; producing a reactive propulsive thrust, not otherwise provided for ; positive - displacement machines for liquids; pumps for liquids or elastic fluids; positive-displacement machines for liquids; pumps ; rotary-piston, or oscillating-piston, positive-displacement machines for liquids ; rotary-piston, or oscillating-piston, positive-displacement pumps; non-positive-displacement pumps ; pumping of fluid by direct contact of another fluid or by using inertia of fluid to be pumped {}; siphons {}; indexing schemes relating to engines or pumps in various subclasses of classes f01-f04; indexing scheme relating to wind, spring, weight, inertia or like motors, to machines or engines for liquids covered by subclasses f03b, f03d and f03g; indexing scheme relating to materials, material properties or material characteristics for machines, engines or pumps other than non-positive-displacement machines or engines; indexing scheme for aspects relating to non-positive-displacement machines or engines, gas-turbines or jet-propulsion plants; engineering in general; fluid-pressure actuators; hydraulics or pneumatics in general; systems acting by means of fluids in general; fluid-pressure actuators, e.g. servomotors; details of fluid-pressure systems, not otherwise provided for; fluid-circuit elements predominantly used for computing or control purposes ","{'G05', 'B60', 'F04', 'H01', 'F16', 'G06', 'F23', 'F03', 'B65', 'G01', 'H02', 'F15', 'F01', 'F02'}"
F03,"fluid dynamics, i.e. methods or means for influencing the flow of gases or liquids ; engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general; devices for fastening or securing constructional elements or machine parts together, e.g. nails, bolts, circlips, clamps, clips, wedges, joints or jointing ; shafts; flexible shafts; elements or crankshaft mechanisms; rotary bodies other than gearing elements; bearings; couplings for transmitting rotation; clutches; brakes; springs; shock-absorbers; means for damping vibration; belts, cables, or ropes, predominantly used for driving purposes; chains; fittings predominantly used therefor; gearing; pistons {}; cylinders; sealings; valves; taps; cocks; actuating-floats; devices for venting or aerating {}; pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general; frames, casings or beds of engines, machines or apparatus, not specific to engines, machines or apparatus provided for elsewhere; stands; supports","{'B05', 'B63', 'E02', 'F16', 'F15', 'C10', 'C09'}"
F04,"lubricating; safety devices in general; {safety devices for presses}; constructional elements in general; structures built-up from such elements, in general; steam traps or like apparatus for draining-off liquids from enclosures predominantly containing gases or vapours; storing or distributing gases or liquids; gas-holders of variable capacity ; vessels for containing or storing compressed, liquefied or solidified gases; fixed-capacity gas-holders; filling vessels with, or discharging from vessels, compressed, liquefied, or solidified gases ; pipe-line systems; pipe-lines ; lighting; heating; lighting","{'G05', 'F04', 'H01', 'F16', 'F17', 'F23', 'F15', 'F25', 'G01', 'A62', 'B01', 'E04', 'B65', 'A47', 'G08'}"
F05,"incandescent mantles; other incandescent bodies heated by combustion; non-electric light sources using luminescence; light sources using electrochemiluminescence; light sources using charges of combustible material; light sources using semiconductor devices as light-generating elements; light sources not otherwise provided for; lighting devices or systems thereof, being portable or specially adapted for transportation; non-portable lighting devices; systems thereof; vehicle lighting devices specially adapted for vehicle exteriors; functional features or details of lighting devices or systems thereof; structural combinations of lighting devices with other articles, not otherwise provided for; indexing scheme associated with subclasses f21k, f21l, f21s and f21v, relating to uses or applications of lighting devices or systems; indexing scheme associated with subclasses f21k, f21l, f21s and f21v, relating to the form or the kind of the light sources or of the colour of the light emitted; steam generation",{'F21'}
F15,"methods of steam generation; steam boilers ; preheating, or accumulating preheated, feed-water for steam generation; feed-water supply for steam generation; controlling water level for steam generation; auxiliary devices for promoting water circulation within steam boilers; superheating of steam ; combustion apparatus; combustion processes; methods or apparatus for combustion using only solid fuel ; methods or apparatus for combustion using fluid fuel or solid fuel suspended in  {a carrier gas or} air  ; burners; cremation furnaces; consuming waste products by combustion","{'G21', 'C11', 'F22', 'F23', 'F01', 'F24', 'F28'}"
F16,"grates ; cleaning or raking grates; removal or treatment of combustion products or combustion residues; flues  ; feeding fuel to combustion apparatus ; supplying air or non-combustible liquids or gases to combustion apparatus in general  ; valves or dampers specially adapted for controlling air supply or draught in combustion apparatus {}; inducing draught in combustion apparatus; tops for chimneys or ventilating shafts; terminals for flues; casings, linings, walls or doors specially adapted for combustion chambers, e.g. firebridges; devices for deflecting air, flames or combustion products in combustion chambers; safety arrangements specially adapted for combustion apparatus; details of combustion chambers, not otherwise provided for; regulating or controlling combustion ; ignition ; extinguishing-devices; generating combustion products of high pressure or high velocity, e.g. gas-turbine combustion chambers ; heating; ranges; ventilating; domestic stoves or ranges for solid fuels ; implements for use in connection with stoves or ranges; domestic stoves or ranges  ; details of domestic stoves or ranges, of general application; domestic- or space-heating systems, e.g. central heating systems; domestic hot-water supply systems; elements or components therefor ; air-conditioning; air-humidification; ventilation; use of air currents for screening ; fluid heaters, e.g. water or air heaters, having heat-generating means, e.g. heat pumps, in general ; solar heat collectors; solar heat systems ; geothermal collectors; geothermal systems; collection, production or use of heat not otherwise provided for; refrigeration or cooling; combined heating and refrigeration systems; heat pump systems; manufacture or storage of ice; liquefaction solidification of gases; refrigeration machines, plants or systems; combined heating and refrigeration systems; heat pump systems; producing, working or handling ice; refrigerators; cold rooms; ice-boxes; cooling or freezing apparatus not otherwise provided for ; liquefaction, solidification or separation of gases or gaseous {or liquefied gaseous} mixtures by pressure and cold treatment {or by bringing them into the supercritical state }; drying; drying solid materials or objects by removing liquid therefrom ; furnaces; kilns; ovens; retorts; furnaces, kilns, ovens, or retorts in general; open sintering or like apparatus; details or accessories of furnaces, kilns, ovens, or retorts, in so far as they are of kinds occurring in more than one kind of furnace ; indexing scheme relating to aspects of the charges or furnaces, kilns, ovens or retorts; heat exchange in general; steam or vapour condensers ","{'A01', 'F27', 'F23', 'C09', 'F03', 'A24', 'B01', 'E04', 'B08', 'A47', 'F01', 'C06', 'B60', 'F04', 'F22', 'H01', 'F17', 'A23', 'F24', 'F28', 'A45', 'F25', 'D06', 'B64', 'B04', 'C04', 'B65', 'G12', 'F02'}"
F17,"heat-exchange apparatus, not provided for in another subclass, in which the heat-exchange media come into direct contact without chemical interaction ; heat-exchange apparatus, not provided for in another subclass, in which the heat-exchange media do not come into direct contact ; details of heat-exchange and heat-transfer apparatus, of general application ; cleaning of internal or external surfaces of heat-exchange or heat-transfer conduits, e.g. water tubes or boilers ; weapons; blasting; weapons; functional features or details common to both smallarms and ordnance, e.g. cannons; mountings for smallarms or ordnance; weapons for projecting missiles without use of explosive or combustible propellant charge; weapons not otherwise provided for ","{'A01', 'F22', 'F16', 'F27', 'F23', 'F24', 'F28', 'F42', 'A63', 'B08', 'B26'}"
F21,"smallarms, e.g. pistols, rifles ; accessories therefor; apparatus for launching projectiles or missiles from barrels, e.g. cannons ; launchers for rockets or torpedoes; harpoon guns ; weapon sights; aiming ; armour; armoured turrets; armoured or armed vehicles; means of attack or defence, e.g. camouflage, in general; targets; target ranges; bullet catchers {}; ammunition; blasting; explosive charges, e.g. for blasting, fireworks, ammunition ; ammunition fuzes ; arming or safety means therefor ; blasting ; subject matter not otherwise provided for in this section; subject matter not otherwise provided for in this section","{'E21', 'G02', 'A63', 'F41', 'F42', 'C06'}"
G01,"measuring; testing; measuring length, thickness or similar linear dimensions; measuring angles; measuring areas; measuring irregularities of surfaces or contours; measuring distances, levels or bearings; surveying; navigation; gyroscopic instruments; photogrammetry or videogrammetry ; measuring not specially adapted for a specific variable; arrangements for measuring two or more variables not covered in a single other subclass; tariff metering apparatus; measuring or testing not otherwise provided for; measuring volume, volume flow, mass flow or liquid level; metering by volume; weighing ; measurement of mechanical vibrations or ultrasonic, sonic or infrasonic waves; measurement of intensity, velocity, spectral content, polarisation, phase or pulse characteristics of infra-red, visible or ultra-violet light; colorimetry; radiation pyrometry ; measuring temperature; measuring quantity of heat; thermally-sensitive elements not otherwise provided for ; measuring force, stress, torque, work, mechanical power, mechanical efficiency, or fluid pressure ; testing static or dynamic balance of machines or structures; testing of structures or apparatus, not otherwise provided for; investigating or analysing materials by determining their chemical or physical properties ; measuring linear or angular speed, acceleration, deceleration, or shock; indicating presence, absence, or direction, of movement ; scanning-probe techniques or apparatus; applications of scanning-probe techniques, e.g. scanning probe microscopy ; measuring electric variables; measuring magnetic variables ; radio direction-finding; radio navigation; determining distance or velocity by use of radio waves; locating or presence-detecting by use of the reflection or reradiation of radio waves; analogous arrangements using other waves; measurement of nuclear or x-radiation ; geophysics; gravitational measurements; detecting masses or objects; tags ; meteorology ; optics; optical elements, systems or apparatus; spectacles; sunglasses or goggles insofar as they have the same features as spectacles; contact lenses ; optical devices or arrangements for the control of light by modification of the optical properties of the media of the elements involved therein; non-linear optics; frequency-changing of light; optical logic elements; optical analogue/digital converters; photography; cinematography; analogous techniques using waves other than optical waves; electrography; holography; apparatus or arrangements for taking photographs or for projecting or viewing them; apparatus or arrangements employing analogous techniques using waves other than optical waves; accessories therefor ; photosensitive materials for photographic purposes ; photographic processes, e.g. cine, x-ray, colour, stereo-photographic processes; auxiliary processes in photography ; apparatus for processing exposed photographic materials ; accessories therefor ; photomechanical production of textured or patterned surfaces, e.g. for printing, for processing of semiconductor devices; materials therefor; originals therefor; apparatus specially adapted therefor; ; electrography; electrophotography; magnetography ; holographic processes or apparatus ; horology; mechanically-driven clocks or watches; mechanical parts of clocks or watches in general; time pieces using the position of the sun, moon or stars ; electromechanical clocks or watches ; apparatus or tools specially designed for making or maintaining clocks or watches; time-interval measuring ; electronic time-pieces; radio-controlled time-pieces; controlling; regulating","{'A01', 'B41', 'B07', 'H05', 'F03', 'G02', 'G11', 'G03', 'H03', 'G08', 'B61', 'B60', 'G04', 'F21', 'H01', 'A61', 'G06', 'F42', 'A63', 'G01', 'H04', 'E01', 'C12'}"
G02,control or regulating systems in general; functional elements of such systems; monitoring or testing arrangements for such systems or elements ; systems for controlling or regulating non-electric variables ; systems for regulating electric or magnetic variables ; control devices or systems insofar as characterised by mechanical features only ; computing; calculating; counting; digital computers in which all the computation is effected mechanically ; digital fluid-pressure computing devices; optical computing devices; {computing devices using other radiations with similar properties},"{'G05', 'G07', 'B41', 'G04', 'H01', 'H05', 'F16', 'G06', 'G02', 'A63', 'G01', 'G11', 'H02', 'H04', 'F15', 'G12', 'H03', 'B22'}"
G03,"electric digital data processing ; analogue computers ; hybrid computing arrangements ; graphical data reading ; presentation of data; record carriers; handling record carriers; counting mechanisms; counting of objects not otherwise provided for ; computing arrangements based on specific computational models; data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for; image data processing or generation, in general; image or video recognition or understanding; checking-devices; ticket-issuing apparatus; fare-registering apparatus; franking apparatus; time or attendance registers; registering or indicating the working of machines; generating random numbers; voting or lottery apparatus; arrangements, systems or apparatus for checking not provided for elsewhere; handling of coins or valuable papers, e.g. testing, sorting by denominations, counting, dispensing, changing or depositing; coin-freed or like apparatus ","{'G07', 'G01', 'H04', 'G06', 'H03'}"
